Workflow,XLSX Tab,Test Case ID,Summary,Automatability,Dependency / Reason,Flow file (if implemented)
Case Filters,Case Filters,Fuzzy Search 2,Locate exact match,Partial,Same dependencies as Fuzzy Search 1,flows/case_filters/fuzzy_search_01_03.yaml
Case Filters,Case Filters,Fuzzy Search 3,Locate fuzzy match,Partial,Same dependencies as Fuzzy Search 1,flows/case_filters/fuzzy_search_01_03.yaml
Case Filters,Case Filters,Case Lists 1,Test case details GPS function,Partial,"Show Address launches an OS map-app chooser - device-dependent, same class as Support Menus' Report Problem share sheet",
Case Filters,Case Filters,Case Lists 2,Test case map function,Partial,View on Map launches an OS map app for all geo-tagged cases - device-dependent,
Case Filters,Case Filters,Case Lists 3,Register geoservices case,Partial,Register Case's site_location field is a geopoint widget (GPS capture or manual coordinate entry) - interaction not verified against a live run,
Case Filters,Case Filters,Case Lists 4,Update geoservices case,Partial,Depends on Case Lists 3 having created a case first,
Case Filters,Case Filters,Case Lists 5,Test case details for geoservices,Partial,Includes the same Show Address map-chooser dependency as Case Lists 1,
Case Filters,Case Filters,Case Search & Claim 1,Explore date widget in Case Search & Claim app,Not automatable,Different app ('Case Search and Claim') not present in resources/ and not independently confirmed - not guessed per this session's own rule against unverified app names,
Case Filters,Case Filters,Case Search & Claim 2,Date Widget - Single Date,Not automatable,Same app-verification gap as Case Search & Claim 1,
Case Filters,Case Filters,Case List Search,Case List Barcode Scan Search,Not automatable,Requires generating a QR code on an external website (the-qrcode-generator.com) and scanning it with the device camera,
Case Filters,Case Filters,End Form 1,Verify form navigation,Partial,Part of the Geoservices Register-a-Case sequence (Case Lists 3/4) - same geopoint-widget verification gap as those rows,
Form Submissions,Form Submissions,Question Types 1,"Answer questions across Question Types form (incl. pick/clear/pick on a multiple-choice question), submit",Automatable,,flows/form_submissions/question_types_01_03_answer_and_submit.yaml
Form Submissions,Form Submissions,Question Types 2,"Answer questions across Question Types form (incl. pick/clear/pick on a multiple-choice question), submit",Automatable,,flows/form_submissions/question_types_01_03_answer_and_submit.yaml (same on-device path as Question Types 1 - see that file's header)
Form Submissions,Form Submissions,Question Types 3,"Answer questions across Question Types form (incl. pick/clear/pick on a multiple-choice question), submit",Automatable,,flows/form_submissions/question_types_01_03_answer_and_submit.yaml (same on-device path as Question Types 1 - see that file's header)
Form Submissions,Form Submissions,1MB Form 1,Manually time how long a 1MB form takes to load/submit and log it,Not automatable,Manual performance/timing measurement recorded by a human tester - not a pass/fail UI assertion,
Form Submissions,Form Submissions,1MB Form 2,Manually time how long a 1MB form takes to load/submit and log it,Not automatable,Manual performance/timing measurement recorded by a human tester - not a pass/fail UI assertion,
Form Submissions,Form Submissions,Appearance Attributes,Page through Appearance Attributes form and submit,Partial,"Form has a required image-only choice question (GridWidget) with no stable id/text/coordinate selector - flow verifies the form up to that question, cannot submit past it",flows/form_submissions/appearance_attributes_page_through_and_submit.yaml
Form Submissions,Form Submissions,Groups,Submit Groups form twice with different answers,Automatable,,flows/form_submissions/groups_submit_twice_different_answers.yaml
Form Submissions,Form Submissions,Repeat Groups 1,"Add repeat groups via Add Group/Do Not Add, page through, submit",Partial,Progress-bar color/length change is a visual judgment call Maestro cannot assert - FINISH text and repeat-group add/submit are automated,flows/form_submissions/repeat_groups_01_05_add_and_submit.yaml
Form Submissions,Form Submissions,Repeat Groups 2,"Add repeat groups via Add Group/Do Not Add, page through, submit",Partial,Same progress-bar visual caveat as Repeat Groups 1 - see that file's header,flows/form_submissions/repeat_groups_01_05_add_and_submit.yaml
Form Submissions,Form Submissions,Repeat Groups 3,"Add repeat groups via Add Group/Do Not Add, page through, submit",Partial,Same progress-bar visual caveat as Repeat Groups 1 - see that file's header,flows/form_submissions/repeat_groups_01_05_add_and_submit.yaml
Form Submissions,Form Submissions,Repeat Groups 4,"Add repeat groups via Add Group/Do Not Add, page through, submit",Partial,Same progress-bar visual caveat as Repeat Groups 1 - see that file's header,flows/form_submissions/repeat_groups_01_05_add_and_submit.yaml
Form Submissions,Form Submissions,Repeat Groups 5,"Add repeat groups via Add Group/Do Not Add, page through, submit",Partial,Same progress-bar visual caveat as Repeat Groups 1 - see that file's header,flows/form_submissions/repeat_groups_01_05_add_and_submit.yaml
Form Submissions,Form Submissions,Markdown,Page through Markdown form and submit,Partial,Verifying markdown renders correctly (bold/italics/tables/links) per Confluence page is a visual-rendering judgment call - navigation and submission are automated,flows/form_submissions/markdown_page_through_and_submit.yaml
Form Submissions,Form Submissions,Locations,"Verify default location values appear per question (sheet's own navigation text says Question Types, followed literally)",Partial,Sheet points to the Question Types form (likely copy-paste error) and does not specify expected default values to assert - navigation + sanity check automated only,flows/form_submissions/locations_default_values_via_question_types.yaml
Form Submissions,Form Submissions,Minimize Duplicate,"Create a case, submit Create a Sub Case followup, verify sub case under View Case's Sub Case, update case, verify parent case properties update",Partial,Verifying updated parent case properties requires a case-list/report view not confirmed feasible via Maestro alone - case creation/sub-case/update are automated,flows/form_submissions/minimize_duplicate_create_subcase_update_case.yaml
Form Submissions,Form Submissions,Multiple Submissions,"Submit Basic Form ~10x in a loop, background the app, verify forms sync",Automatable,,flows/form_submissions/multiple_submissions_10x_background_sync.yaml
Form Submissions,Form Submissions,Incomplete Forms 1,"Fill in a portion of a form, back out, save as incomplete, resume from the Incomplete Forms list, verify persisted answers, finish and submit",Automatable,,flows/form_submissions/incomplete_forms_01_03_save_resume_submit.yaml
Form Submissions,Form Submissions,Incomplete Forms 2,"Same save-incomplete/resume/submit scenario as Incomplete Forms 1 (identical on-device mechanics, different sheet framing)",Automatable,,flows/form_submissions/incomplete_forms_01_03_save_resume_submit.yaml
Form Submissions,Form Submissions,Incomplete Forms 3,"Same save-incomplete/resume/submit scenario as Incomplete Forms 1 (identical on-device mechanics, different sheet framing)",Automatable,,flows/form_submissions/incomplete_forms_01_03_save_resume_submit.yaml
Form Submissions,Form Submissions,Incomplete Forms 4,"Save-incomplete/resume/submit scenario, plus verifying the submission via CommCareHQ's Submit History web report",Partial,On-device save-incomplete/resume/submit is automated by the same flow as Incomplete Forms 1-3; verifying via CommCareHQ's Submit History web report is a browser-based HQ action with no on-device equivalent - out of scope for this Maestro (device-only) framework,flows/form_submissions/incomplete_forms_01_03_save_resume_submit.yaml
Form Submissions,Form Submissions,Incomplete Forms 5,"Save-incomplete/resume/submit scenario, plus verifying a form summary text and timestamp appear below the entry in the Incomplete Forms list",Automatable,,flows/form_submissions/incomplete_forms_05_06_list_summary_and_timestamp.yaml
Form Submissions,Form Submissions,Incomplete Forms 6,"Same list-summary/timestamp verification scenario as Incomplete Forms 5 (identical on-device mechanics, different sheet framing)",Automatable,,flows/form_submissions/incomplete_forms_05_06_list_summary_and_timestamp.yaml
Form Submissions,Form Submissions,Case Name Size 1,"Basic Tests app -> Case Tests -> register a case with a name over 255 characters, attempt to submit, confirm the app's length-warning error",Automatable,,flows/form_submissions/case_name_size_01_02_length_warning_and_not_saved.yaml
Form Submissions,Form Submissions,Case Name Size 2,Confirm the oversized-name submission from Case Name Size 1 does NOT appear under Saved Forms,Automatable,,flows/form_submissions/case_name_size_01_02_length_warning_and_not_saved.yaml
Form Submissions,Form Submissions,Unsent Form 1,"Go offline, submit a form so it stays unsent, then move the device's system date forward 5 days and verify behavior",Not automatable,"Requires changing the device's system date/time; Maestro has no built-in command for setting device date (confirmed against Maestro's own documented command list - launchApp/tapOn/inputText/assertVisible/back/swipe/scroll/pressKey/setLocation/travel/addMedia/etc, no date-setting primitive) - genuinely needs external device-settings manipulation this harness cannot perform",
Form Submissions,Form Submissions,Unsent Form 2,Same device-date-manipulation scenario as Unsent Form 1,Not automatable,"Requires changing the device's system date/time; Maestro has no built-in command for setting device date - same reason as Unsent Form 1, no Maestro primitive exists for this",
Form Submissions,Form Submissions,Clean Form Submission 1,"Log into CommCareHQ web UI to view/edit form metadata and ""clean"" a submission",Not automatable,Entirely a CommCareHQ web-UI admin workflow (browser-based form metadata editing) with zero on-device component - out of scope for this Maestro mobile-UI framework,
Form Submissions,Form Submissions,Clean Form Submission 2,"Same HQ web-UI ""clean submission"" scenario as Clean Form Submission 1",Not automatable,Entirely a CommCareHQ web-UI admin workflow with zero on-device component - out of scope for this Maestro mobile-UI framework,
Form Submissions,Form Submissions,Clean Form Submission 3,"Same HQ web-UI ""clean submission"" scenario as Clean Form Submission 1",Not automatable,Entirely a CommCareHQ web-UI admin workflow with zero on-device component - out of scope for this Maestro mobile-UI framework,
Form Submissions,Form Submissions,Save-to-case-1,Register a case,Automatable,,flows/form_submissions/save_to_case_01_03_register_update_case_list.yaml
Form Submissions,Form Submissions,Save-to-case-2,Update a case,Automatable,,flows/form_submissions/save_to_case_01_03_register_update_case_list.yaml
Form Submissions,Form Submissions,Save-to-case-3,Verify case list report,Automatable,No SaveToCaseTest.kt exists in commcare-android instrumentation tests; module m1's only on-device case-list surface is the case-select screen shown by 'Save to case update' (m1_case_short detail) - asserted here rather than an HQ web report,flows/form_submissions/save_to_case_01_03_register_update_case_list.yaml
Form Submissions,Form Submissions,upload_test_1,File upload with specific extensions,Partial,"Only the 7 image/* sub-questions are automated (addMedia + pick_first_gallery_image.yaml using the repo's one committed image fixture, sample_image.png - not literally matching the heic/bmp/wbmp/jpg/JPG/webp/jpeg extensions named in the labels); the 7 audio/* sub-questions (Choose Sound uses a generic ACTION_GET_CONTENT file browser, not the Photo Picker pick_first_gallery_image.yaml targets, and no audio fixture is committed) and 9 video/* sub-questions (same Photo Picker mechanism as images but no video fixture is committed - same gap as coverage_matrix's Filesize 1/Filesize Warning 2 needing oversized_test_video.mp4) are left blank",flows/form_submissions/upload_test_01_specific_file_extensions.yaml
Form Submissions,Form Submissions,upload_test_2,Validate files in HQ,Not automatable,Requires logging into CommCareHQ's web Submit History report to confirm uploaded files appear - device-only Maestro harness cannot reach HQ web reports,
Form Submissions,Form Submissions,Geoservice 1,Default Map Tileset,Not automatable,"Requires editing HQ app-builder Advanced Settings (Default Map Tileset dropdown) and republishing/reinstalling the app 3 times, once per tileset value - an HQ-app-builder-driven rebuild loop, not achievable against a static installed app",
Form Submissions,Form Submissions,Geoservice 2,Auto Capture Location,Partial,"On-device half (submit any form so a location gets captured) is automated; verification via Submit History > View Form > Raw XML is an HQ web report, out of scope for this device-only harness",flows/form_submissions/geoservice_02_auto_capture_location_submit.yaml
Form Submissions,Form Submissions,Secure Flag,Support for Secure Flag,Not automatable,"Requires enabling an HQ feature flag + setting the custom app-builder property ""cc-enable-android-window-secure-flag"" (Advanced Settings > Custom Properties) + republishing the app (confirmed via commcare-android's CommCareActivity.java:143-145 + HiddenPreferences.java:619-621, which read this exact HQ-published property - no on-device toggle exists; also confirmed absent from every CCZ in resources/), THEN visually confirming the Android recent-apps switcher thumbnail is blank - no Maestro primitive exists for inspecting an OS recent-apps thumbnail.",
Form Submissions,Form Submissions,Certificate Transparency 1,Certificate Transparency during Interception cannot get synced with server and submit the forms,Not automatable,Requires a laptop-side HTTP Toolkit proxy paired to the device via a live QR-code scan to intercept device traffic - entirely external tooling with no Maestro/BrowserStack equivalent.,
Form Submissions,Form Submissions,Certificate Transparency 2,Certificate Transparency during no Interception application get synced with server and submit the forms,Not automatable,Continuation of Certificate Transparency 1 (Not automatable) - same laptop-side HTTP Toolkit dependency.,
Form Submissions,Form Submissions,Audio Recording 1,"Android 7+: CommCare should show ""Unable to start recording while another application is recording"" when another app is already recording",Not automatable,Requires a SECOND real Android voice-recording app running concurrently plus human/system judgment on recording interplay (behavior varies by Android version per the sheet's own OS-version split) - no stable Maestro primitive coordinates two apps' audio-hardware contention deterministically across BrowserStack's device fleet.,
Form Submissions,Form Submissions,Audio Recording 2,Android 7+: another app recording while CommCare is actively recording should pause CommCare's recording with a user notification,Not automatable,Same second-app audio-hardware-contention dependency as Audio Recording 1.,
Form Submissions,Form Submissions,Audio Recording 3,Android 6 and earlier: CommCare should reject recording while another app is already recording,Not automatable,Same second-app audio-hardware-contention dependency as Audio Recording 1.,
Form Submissions,Form Submissions,Audio Recording 4,Android 6 and earlier: device should reject another app's recording while CommCare is actively recording,Not automatable,Same second-app audio-hardware-contention dependency as Audio Recording 1.,
Form Submissions,Form Submissions,Casesearch Checkbox 1,Add Genre for Case search as checkbox multiple selection,Not automatable,Entirely an HQ app-builder configuration workflow (adding a case-search property + configuring checkbox format against a lookup table under Case List settings) - zero on-device component.,
Form Submissions,Form Submissions,Casesearch Checkbox 2,Case Search with checkbox support selection for Genre,Not automatable,"On-device half (open the case-search-configured app's 'Songs' module > Search All > select a Genre checkbox filter > verify matching case) would be automatable IF that app existed as a pre-built CCZ in resources/ - checked resources/ (Case Managements!, Conditional Enum in Case List, Advanced Settings, cache and index configuration, Date Widgets, Graphing, Large App, Mobile Updates, Multimedia, Other, Performance Testing, Right to Left Tests, Session Expiration Test, Update Test Alternate, rate-limited, External App Fixture Test, [Master] Basic Tests) - none configured with case-search checkboxes/a 'Songs' module, so this app is not present; same 'app not present in resources/, not guessed' precedent as Case Filters' Case Search & Claim 1/2 rows.",
Form Submissions,Form Submissions,Graceful Session Pause,Verify form retains all information when the app is force-stopped and relaunched,Partial,"Pre-requisite HQ custom app property ""cc-auto-form-save-on-pause"" (confirmed real: commcare-android MainConfigurablePreferences.java:38 AUTO_SAVE_FORM_ON_PAUSE, used in FormEntryActivity.java + main_preferences.xml) is unconfirmed on any app available to this repo - scanned every CCZ in resources/ via profile.ccpr's <property> list and found none with this key set, and no hq_setup/ file or existing flow references it; guessing which live HQ app has it enabled would violate this repo's no-guessing convention (same as Case Filters' Case Search & Claim rows). The on-device half itself (start a form, force-stop, relogin, verify resumed at the same form) is technically feasible - Maestro's killApp command is a genuine OS-level process-kill on Android (""equivalent to running adb shell am kill {package}"", not mere backgrounding) - but with no confirmed app to run it against, no flow is implemented.",
Form Submissions,Form Submissions,Clear user Data - session not logged in,Verify the Clear User Data preference is hidden in App Manager when the user session is not logged in,Automatable,,flows/form_submissions/clear_user_data_before_after_login.yaml
Form Submissions,Form Submissions,Clear user Data - session logged in,Verify the Clear User Data preference is displayed and clickable in App Manager once the user session is logged in,Automatable,"Verified via the home screen's own ""Advanced"" screen (same underlying ""clear-user-data"" preference/""Clear User Data"" text as AppManagerActivity's Advanced screen) rather than literally re-entering AppManagerActivity post-login - confirmed via commcare-android source that no on-screen path back into AppManagerActivity exists once already logged in (LoginActivity finishes itself on success; StandardHomeActivity/RootMenuHomeActivity menus have no App Manager entry) - see flow file header for full citation.",flows/form_submissions/clear_user_data_before_after_login.yaml
Form Submissions,Form Submissions,Active users login,Verify active web users and mobile workers can log in on HQ apps,Not automatable,Needs a pre-provisioned HQ mobile-worker/web-user account explicitly in an ACTIVE state; this repo's only established test credentials are CC_TEST_USERNAME/CC_TEST2_USERNAME (test1/test2 per .env.example) with no active/inactive/deactivated distinction - consistent with this repo's precedent of marking rows Not automatable when they depend on undiscoverable/unprovisioned live HQ account state (e.g. Recovery Measures' Heartbeat Request Improvement 2 needing a live real-time wait).,
Form Submissions,Form Submissions,Inactive users login,Verify deactivated web users/mobile workers cannot log in on HQ apps,Not automatable,Needs a pre-provisioned HQ account explicitly in an INACTIVE/deactivated state - not available in this repo's test credentials; same gap as Active users login.,
Form Submissions,Form Submissions,Deactivated user login,Verify login/sync behavior across deactivate - reactivate - deactivate-again account-state transitions,Not automatable,Needs live HQ account-state transitions (deactivate/reactivate/deactivate again) performed on a pre-provisioned account - no such account or HQ-side automation exists in this repo; same live-HQ-state gap as Active users login/Inactive users login.,
